slug,title,action,current_url,vimeo_url_FILL_IN,privacy_FILL_IN__public|hide-from-vimeo|unlisted,local_master_for_poster
bigheads,Bigheads,DONE,,https://vimeo.com/1055209666,public (page live),"— none held, send me a still or I'll use the cover"
tilo-v2,TILO v2,"PENDING — good film exists, to be cut and uploaded later. Good images available meanwhile",,,,ART/tilo___digital_&_interactive_art_platform (1080p).mp4  /  maybe/tilo.mov
fantasia-express,Fantasia Express,DONE,https://vimeo.com/328023473/79e68d3307,https://vimeo.com/328023473,no hash — public or hide-from-vimeo,"— none held, send me a still or I'll use the cover"
bigmouth,BIGMOUTH,DONE — unchanged,https://vimeo.com/152872356,https://vimeo.com/152872356,no hash,"— none held, send me a still or I'll use the cover"
cakenocake,Cakenocake,"DONE — replaces 217890125, confirm the old one",https://vimeo.com/217890125,https://vimeo.com/216987459,no hash,ART/cakenocake (720p).mp4
emofie,Emofie,DONE — unchanged,https://vimeo.com/141946634,https://vimeo.com/141946634,no hash,"— none held, send me a still or I'll use the cover"
when-i-grow-up,When I Grow Up,"DONE — WIGU_1, 4K/16s from a LATER restaging. See E10: entry year says 2014",https://vimeo.com/141851101,https://vimeo.com/1217362808,no hash,"ART/WIGU_1.mp4 — 3840x2160, poster can come off this at full 4K"
tilo-v1,TILO,DONE — unchanged,https://vimeo.com/103587266,https://vimeo.com/103587266,no hash,ART/tilo___digital_&_interactive_art_platform (1080p).mp4
humble-market,The Humble Market,DONE — replaces YouTube,https://youtu.be/ZL3KvwN7eJk,https://vimeo.com/1217351938,"hide-from-vimeo (verified — no page, no hash)","— none held, send me a still or I'll use the cover"
meyouandus-series,MeYouAndUs,DONE — replaces 17595747 (BBC big screen). Confirm which you want,https://vimeo.com/17595747,https://vimeo.com/198557794,no hash,"— none held, send me a still or I'll use the cover"
not-the-beatles,Not the Beatles Tour,"DONE — 'NOT THE BEATLES-mini-prototype', 64s. First film for this project",,https://vimeo.com/1217365339,no hash,"Vimeo only — but this now unblocks C3, the empty cover"
homewalk,Homewalk,"DONE — 'homewalk', 27s. Resolved 11 Aug",,https://vimeo.com/1217362315,no hash,ART/homewalk.mp4
kindred-spirits,Kindred Spirits,DONE — unchanged,https://vimeo.com/101412008,https://vimeo.com/101412008,no hash,"— none held, send me a still or I'll use the cover"
sonic-market,Sonic Market,CLOSED — no film exists. Confirmed 11 Aug,,,n/a,"— none held, send me a still or I'll use the cover"
invisible-arts-network,Invisible Arts Network,DONE,https://vimeo.com/672842017/38b169bcb7,https://vimeo.com/672842017,hide-from-vimeo (verified — no hash),ART/The Invisible Arts Network - The Happening.mp4
handprint-2012,Handprint 2012,DONE — unchanged,https://vimeo.com/198558083,https://vimeo.com/198558083,no hash,maybe/hprint-bridge.mp4
townsend-lane,26:14:17,"DONE — 'waiting4_1', 6 min. Replaces 198558387",https://vimeo.com/198558387,https://vimeo.com/1217363736,no hash,ART/waiting4_1.mp4
wishing-well,Wishing Well,PENDING — needs digging. Good images available meanwhile,,,,"— none held, send me a still or I'll use the cover"
lowry-to-life,Lowry to Life,DONE,,https://vimeo.com/166343780,no hash,Vimeo only — but see note: this film can settle the D2 cover question
handprint-2008,Handprint,DONE — unchanged,https://vimeo.com/12932359,https://vimeo.com/12932359,no hash,"— none held, send me a still or I'll use the cover"
